Team,clearing_pctg,,,,
North Carolina (ACC),0.94,,,,
Florida (AAC),0.939,,,,
Maryland (Big Ten),0.934,,,,
Northwestern (Big Ten),0.924,,,,
Yale (Ivy League),0.924,,,,
VCU (Atlantic 10),0.922,,,,
Virginia (ACC),0.921,,,,
Virginia Tech (ACC),0.918,,,,
James Madison (AAC),0.918,,,,
East Carolina (AAC),0.915,,,,
Duke (ACC),0.913,,,,
UMBC (America East),0.912,,,,
Boston College (ACC),0.911,,,,
UC Davis (Independent),0.91,,,,
Arizona St. (Pac-12),0.91,,,,
Clemson (ACC),0.91,,,,
George Washington (Atlantic 10),0.907,,,,
Stanford (Pac-12),0.906,,,,
New Hampshire (America East),0.905,,,,
Jacksonville (ASUN),0.904,,,,
Notre Dame (ACC),0.903,,,,
Michigan (Big Ten),0.9,,,,
Boston U. (Patriot),0.898,,,,
Mercer (Big South),0.898,,,,
Niagara (MAAC),0.898,,,,
Richmond (Atlantic 10),0.897,,,,
Massachusetts (Atlantic 10),0.895,,,,
Stony Brook (CAA),0.894,,,,
Penn (Ivy League),0.894,,,,
UConn (Big East),0.892,,,,
Temple (AAC),0.89,,,,
Davidson (Atlantic 10),0.89,,,,
Binghamton (America East),0.889,,,,
Siena (MAAC),0.888,,,,
Denver (Big East),0.887,,,,
Wagner (NEC),0.884,,,,
Georgetown (Big East),0.884,,,,
Campbell (Big South),0.883,,,,
Elon (CAA),0.883,,,,
Presbyterian (Big South),0.882,,,,
Army West Point (Patriot),0.88,,,,
Penn St. (Big Ten),0.878,,,,
Delaware (CAA),0.877,,,,
Harvard (Ivy League),0.876,,,,
Vermont (America East),0.875,,,,
Syracuse (ACC),0.874,,,,
UMass Lowell (America East),0.874,,,,
Bryant (America East),0.872,,,,
Pittsburgh (ACC),0.871,,,,
Johns Hopkins (Big Ten),0.871,,,,
Quinnipiac (MAAC),0.87,,,,
Loyola Maryland (Patriot),0.87,,,,
Cornell (Ivy League),0.869,,,,
St. Bonaventure (Atlantic 10),0.867,,,,
Navy (Patriot),0.866,,,,
Oregon (Pac-12),0.866,,,,
Monmouth (CAA),0.865,,,,
Robert Morris (MAC),0.865,,,,
Towson (CAA),0.865,,,,
Colorado (Pac-12),0.863,,,,
Hofstra (CAA),0.86,,,,
Drexel (CAA),0.859,,,,
Villanova (Big East),0.858,,,,
Bucknell (Patriot),0.857,,,,
Fairfield (MAAC),0.856,,,,
Coastal Carolina (ASUN),0.856,,,,
High Point (Big South),0.854,,,,
George Mason (Atlantic 10),0.853,,,,
Saint Francis (PA) (NEC),0.851,,,,
Lehigh (Patriot),0.851,,,,
LIU (NEC),0.849,,,,
Cincinnati (AAC),0.849,,,,
Furman (Big South),0.848,,,,
Princeton (Ivy League),0.848,,,,
Canisius (MAAC),0.846,,,,
Marquette (Big East),0.845,,,,
Longwood (Big South),0.844,,,,
American (Patriot),0.844,,,,
Sacred Heart (NEC),0.844,,,,
Saint Joseph's (Atlantic 10),0.841,,,,
Dartmouth (Ivy League),0.841,,,,
Central Mich. (MAC),0.841,,,,
Rutgers (Big Ten),0.84,,,,
Brown (Ivy League),0.836,,,,
Southern California (Pac-12),0.835,,,,
Colgate (Patriot),0.833,,,,
Youngstown St. (MAC),0.833,,,,
Duquesne (Atlantic 10),0.83,,,,
UAlbany (America East),0.827,,,,
Holy Cross (Patriot),0.824,,,,
William & Mary (CAA),0.821,,,,
Stetson (ASUN),0.82,,,,
Vanderbilt (AAC),0.82,,,,
Detroit Mercy (MAC),0.819,,,,
California (Pac-12),0.815,,,,
Liberty (ASUN),0.814,,,,
Louisville (ACC),0.813,,,,
Mount St. Mary's (MAAC),0.81,,,,
Old Dominion (AAC),0.808,,,,
Radford (Big South),0.804,,,,
Columbia (Ivy League),0.802,,,,
Kent St. (MAC),0.798,,,,
La Salle (Atlantic 10),0.796,,,,
Lafayette (Patriot),0.792,,,,
Winthrop (Big South),0.791,,,,
San Diego St. (MPSF),0.79,,,,
Butler (Big East),0.789,,,,
Akron (MAC),0.789,,,,
Iona (MAAC),0.789,,,,
Gardner-Webb (Big South),0.782,,,,
Wofford (Big South),0.78,,,,
Ohio St. (Big Ten),0.778,,,,
Marist (MAAC),0.77,,,,
Delaware St. (ASUN),0.762,,,,
Central Conn. St. (NEC),0.76,,,,
Manhattan (MAAC),0.758,,,,
Eastern Mich. (MAC),0.755,,,,
Kennesaw St. (ASUN),0.735,,,,
Xavier (Big East),0.725,,,,
FDU (NEC),0.717,,,,