Team,save_pctg,,,,,
Wagner (NEC),0.557,,,,,
Florida (AAC),0.545,,,,,
Drexel (CAA),0.534,,,,,
Saint Francis (PA) (NEC),0.533,,,,,
Loyola Maryland (Patriot),0.512,,,,,
UConn (Big East),0.509,,,,,
Denver (Big East),0.505,,,,,
San Diego St. (MPSF),0.497,,,,,
Quinnipiac (MAAC),0.493,,,,,
East Carolina (AAC),0.491,,,,,
Jacksonville (ASUN),0.49,,,,,
Syracuse (ACC),0.487,,,,,
Clemson (ACC),0.48,,,,,
Lehigh (Patriot),0.478,,,,,
James Madison (AAC),0.477,,,,,
Central Mich. (MAC),0.475,,,,,
Kent St. (MAC),0.473,,,,,
Ohio St. (Big Ten),0.473,,,,,
Army West Point (Patriot),0.472,,,,,
Northwestern (Big Ten),0.472,,,,,
Maryland (Big Ten),0.471,,,,,
Michigan (Big Ten),0.467,,,,,
Coastal Carolina (ASUN),0.466,,,,,
North Carolina (ACC),0.464,,,,,
Radford (Big South),0.461,,,,,
Georgetown (Big East),0.461,,,,,
Fairfield (MAAC),0.46,,,,,
Villanova (Big East),0.459,,,,,
Rutgers (Big Ten),0.458,,,,,
UC Davis (Independent),0.455,,,,,
Saint Joseph's (Atlantic 10),0.453,,,,,
Mount St. Mary's (MAAC),0.451,,,,,
UMBC (America East),0.45,,,,,
Stanford (Pac-12),0.45,,,,,
Princeton (Ivy League),0.448,,,,,
Boston College (ACC),0.446,,,,,
Siena (MAAC),0.445,,,,,
Arizona St. (Pac-12),0.444,,,,,
Lafayette (Patriot),0.443,,,,,
Virginia Tech (ACC),0.442,,,,,
Southern California (Pac-12),0.441,,,,,
Iona (MAAC),0.441,,,,,
Vermont (America East),0.44,,,,,
Davidson (Atlantic 10),0.439,,,,,
LIU (NEC),0.439,,,,,
Notre Dame (ACC),0.436,,,,,
Detroit Mercy (MAC),0.436,,,,,
Sacred Heart (NEC),0.435,,,,,
Central Conn. St. (NEC),0.434,,,,,
Delaware (CAA),0.432,,,,,
Colorado (Pac-12),0.432,,,,,
Manhattan (MAAC),0.431,,,,,
Towson (CAA),0.43,,,,,
California (Pac-12),0.429,,,,,
Temple (AAC),0.429,,,,,
Canisius (MAAC),0.427,,,,,
Kennesaw St. (ASUN),0.426,,,,,
Penn St. (Big Ten),0.424,,,,,
Longwood (Big South),0.423,,,,,
William & Mary (CAA),0.423,,,,,
Mercer (Big South),0.422,,,,,
Boston U. (Patriot),0.421,,,,,
Louisville (ACC),0.419,,,,,
Binghamton (America East),0.419,,,,,
Niagara (MAAC),0.418,,,,,
Penn (Ivy League),0.418,,,,,
VCU (Atlantic 10),0.417,,,,,
Bryant (America East),0.417,,,,,
Dartmouth (Ivy League),0.416,,,,,
Youngstown St. (MAC),0.416,,,,,
Old Dominion (AAC),0.416,,,,,
Robert Morris (MAC),0.413,,,,,
George Washington (Atlantic 10),0.413,,,,,
Hofstra (CAA),0.412,,,,,
Campbell (Big South),0.411,,,,,
Marist (MAAC),0.411,,,,,
Pittsburgh (ACC),0.409,,,,,
Delaware St. (ASUN),0.406,,,,,
Cornell (Ivy League),0.406,,,,,
Oregon (Pac-12),0.404,,,,,
Eastern Mich. (MAC),0.403,,,,,
Navy (Patriot),0.4,,,,,
Marquette (Big East),0.399,,,,,
Massachusetts (Atlantic 10),0.399,,,,,
Duke (ACC),0.397,,,,,
Gardner-Webb (Big South),0.397,,,,,
Howard (NEC),0.396,,,,,
Monmouth (CAA),0.395,,,,,
Xavier (Big East),0.394,,,,,
UMass Lowell (America East),0.394,,,,,
Presbyterian (Big South),0.393,,,,,
Holy Cross (Patriot),0.393,,,,,
FDU (NEC),0.392,,,,,
Cincinnati (AAC),0.392,,,,,
Brown (Ivy League),0.391,,,,,
St. Bonaventure (Atlantic 10),0.389,,,,,
Elon (CAA),0.387,,,,,
New Hampshire (America East),0.386,,,,,
Liberty (ASUN),0.385,,,,,
Akron (MAC),0.385,,,,,
Duquesne (Atlantic 10),0.384,,,,,
High Point (Big South),0.383,,,,,
American (Patriot),0.38,,,,,
Furman (Big South),0.379,,,,,
Columbia (Ivy League),0.378,,,,,
Johns Hopkins (Big Ten),0.375,,,,,
Stony Brook (CAA),0.375,,,,,
Butler (Big East),0.373,,,,,
Stetson (ASUN),0.371,,,,,
Yale (Ivy League),0.371,,,,,
Vanderbilt (AAC),0.37,,,,,
Harvard (Ivy League),0.366,,,,,
UAlbany (America East),0.366,,,,,
Virginia (ACC),0.363,,,,,
Richmond (Atlantic 10),0.363,,,,,
Colgate (Patriot),0.362,,,,,
Bucknell (Patriot),0.361,,,,,
George Mason (Atlantic 10),0.36,,,,,
La Salle (Atlantic 10),0.359,,,,,
Winthrop (Big South),0.329,,,,,