Team,shots_per_game,,,
Northwestern (Big Ten),36.32,,,
Richmond (Atlantic 10),35.81,,,
Marquette (Big East),35.63,,,
Jacksonville (ASUN),34.20,,,
Coastal Carolina (ASUN),33.95,,,
Notre Dame (ACC),33.71,,,
Stetson (ASUN),33.53,,,
Army West Point (Patriot),33.42,,,
Mercer (Big South),33.35,,,
UMBC (America East),32.86,,,
Liberty (ASUN),32.68,,,
Penn (Ivy League),32.63,,,
Princeton (Ivy League),32.44,,,
UConn (Big East),32.37,,,
Massachusetts (Atlantic 10),32.32,,,
Stony Brook (CAA),32.32,,,
Syracuse (ACC),32.29,,,
Virginia (ACC),32.00,,,
Cornell (Ivy League),31.80,,,
Bryant (America East),31.79,,,
Fairfield (MAAC),31.74,,,
UC Davis (Independent),31.57,,,
Navy (Patriot),31.53,,,
Penn St. (Big Ten),31.22,,,
Colorado (Pac-12),31.00,,,
Stanford (Pac-12),31.00,,,
Towson (CAA),31.00,,,
Duke (ACC),30.94,,,
Boston College (ACC),30.91,,,
Yale (Ivy League),30.82,,,
Loyola Maryland (Patriot),30.82,,,
Campbell (Big South),30.79,,,
Niagara (MAAC),30.74,,,
North Carolina (ACC),30.67,,,
Clemson (ACC),30.61,,,
Georgetown (Big East),30.53,,,
James Madison (AAC),30.50,,,
Binghamton (America East),30.47,,,
Maryland (Big Ten),30.45,,,
Bucknell (Patriot),30.38,,,
Johns Hopkins (Big Ten),30.28,,,
Iona (MAAC),30.25,,,
Florida (AAC),29.90,,,
Harvard (Ivy League),29.73,,,
Monmouth (CAA),29.65,,,
Furman (Big South),29.56,,,
Cincinnati (AAC),29.50,,,
Saint Joseph's (Atlantic 10),29.42,,,
Sacred Heart (NEC),29.37,,,
Lehigh (Patriot),29.33,,,
Central Mich. (MAC),29.26,,,
Davidson (Atlantic 10),29.17,,,
Saint Francis (PA) (NEC),28.94,,,
Robert Morris (MAC),28.84,,,
Southern California (Pac-12),28.75,,,
UAlbany (America East),28.55,,,
VCU (Atlantic 10),28.53,,,
Denver (Big East),28.48,,,
Temple (AAC),28.19,,,
Kent St. (MAC),28.17,,,
High Point (Big South),28.11,,,
Holy Cross (Patriot),28.11,,,
LIU (NEC),28.06,,,
Villanova (Big East),27.94,,,
Virginia Tech (ACC),27.79,,,
Hofstra (CAA),27.69,,,
Vermont (America East),27.69,,,
Boston U. (Patriot),27.67,,,
Colgate (Patriot),27.53,,,
Delaware (CAA),27.38,,,
Wofford (Big South),27.29,,,
Drexel (CAA),27.11,,,
Longwood (Big South),26.88,,,
Canisius (MAAC),26.75,,,
Quinnipiac (MAAC),26.72,,,
Oregon (Pac-12),26.71,,,
Youngstown St. (MAC),26.61,,,
Wagner (NEC),26.53,,,
Lafayette (Patriot),26.41,,,
Dartmouth (Ivy League),26.33,,,
Michigan (Big Ten),26.30,,,
William & Mary (CAA),26.19,,,
Siena (MAAC),25.74,,,
New Hampshire (America East),25.73,,,
East Carolina (AAC),25.67,,,
Detroit Mercy (MAC),25.57,,,
Brown (Ivy League),25.43,,,
Elon (CAA),25.38,,,
Arizona St. (Pac-12),25.37,,,
California (Pac-12),25.06,,,
Rutgers (Big Ten),24.94,,,
Columbia (Ivy League),24.80,,,
American (Patriot),24.75,,,
San Diego St. (MPSF),24.69,,,
Gardner-Webb (Big South),24.65,,,
Vanderbilt (AAC),24.60,,,
Kennesaw St. (ASUN),24.47,,,
Louisville (ACC),24.47,,,
Marist (MAAC),24.44,,,
Manhattan (MAAC),24.24,,,
Duquesne (Atlantic 10),24.19,,,
Mount St. Mary's (MAAC),24.12,,,
UMass Lowell (America East),23.94,,,
Presbyterian (Big South),23.76,,,
Butler (Big East),23.73,,,
Akron (MAC),23.71,,,
Eastern Mich. (MAC),23.69,,,
George Washington (Atlantic 10),23.61,,,
Ohio St. (Big Ten),23.53,,,
Radford (Big South),23.12,,,
Central Conn. St. (NEC),23.07,,,
St. Bonaventure (Atlantic 10),22.89,,,
Pittsburgh (ACC),22.82,,,
Old Dominion (AAC),22.76,,,
George Mason (Atlantic 10),22.73,,,
Delaware St. (ASUN),22.56,,,
Xavier (Big East),22.36,,,
Winthrop (Big South),22.12,,,
FDU (NEC),20.69,,,
La Salle (Atlantic 10),20.27,,,