CLUB,POSITION,total_offense,total_penalties,P,BL,percentage,HPI
HSV,LW,521,26,28,0,71.28,77
RNL,CB,563,85,29,3,63.35,71
HCE,RB,463,39,30,5,66.67,72
GUM,RW,424,27,30,1,70.51,74
SCM,RB,441,34,30,2,71.62,74
SGF,LW,380,18,30,0,75.47,74
SCM,CB,456,72,29,3,70,74
WET,LB,460,64,30,18,53.82,70
LEI,RB,421,70,23,1,64.59,70
BER,RW,313,10,24,0,78.82,76
FAG,LW,330,6,23,0,72.28,76
TBV,LW,314,8,23,0,75.29,76
SGF,PV,330,36,29,20,77.71,79
GUM,LB,490,97,30,24,56.11,71
TBV,RB,414,70,30,4,56.36,69
BER,CB,391,43,30,0,58.25,70
THW,RW,287,9,27,1,76.28,74
ASV,LW,305,21,28,1,65.92,70
RNL,RW,303,20,28,0,76.47,75
GUM,CB,376,29,20,0,59.9,72
BHC,CB,403,61,26,2,65.14,72
HSV,RB,422,64,23,3,56.28,71
HSV,RW,272,12,28,0,79.43,75
STU,RW,281,19,29,0,68.94,71
HSV,CB,390,76,29,0,54.15,66
BER,RB,357,43,23,0,67.68,75
RNL,LB,359,48,28,4,53.11,69
TBV,LB,403,61,30,6,63.58,72
GWD,CB,303,43,22,0,65.87,70
FAG,LB,347,50,30,18,59.89,70
STU,LB,369,80,30,9,52.94,68
HAN,RW,265,13,30,0,75.52,73
BHC,PV,267,68,30,15,73.47,73
BHC,LW,259,18,27,1,69.8,72
TBV,RW,256,16,29,2,73.76,74
GUM,PV,281,51,30,25,67.1,75
RNL,PV,267,45,27,10,70.83,76
SCM,RB,307,34,15,1,72.34,75
RNL,LW,266,12,19,0,65.16,72
BER,PV,250,49,29,24,73.72,76
ASV,LB,345,52,30,1,50.25,68
MTM,RB,309,41,26,0,60.76,71
GWD,LW,252,9,30,3,72.18,73
THW,LB,296,29,28,1,59.26,71
LEI,RW,256,22,29,0,69.34,71
MTM,CB,392,84,28,3,51.63,68
SGF,RW,254,10,28,0,61.59,70
HAN,RW,224,14,25,0,73.02,73
STU,CB,293,55,30,0,63.01,68
SCM,RW,224,14,28,0,75.21,73
THW,RB,346,40,29,1,52.3,71
FAG,RB,281,39,29,1,55.21,69
TBV,CB,304,49,29,6,61.22,69
ASV,RB,318,69,28,1,58.44,67
HCE,LB,352,63,29,1,49.18,68
LEI,RB,305,51,29,4,52.63,68
BER,LB,327,40,24,2,56.25,72
BHC,LB,294,50,24,7,53.61,68
WET,RW,227,18,27,1,68.99,71
THW,LB,290,37,23,3,62.24,72
HCE,CB,300,74,30,1,66.67,69
HCE,LW,263,41,29,2,66.67,71
STU,LW,215,11,28,1,74.14,72
HAN,PV,213,30,30,8,72.65,74
SGF,RB,296,44,27,16,57.43,71
LEI,CB,319,44,23,2,56.46,70
HAN,RB,311,48,27,1,52.87,69
HCE,PV,210,39,29,9,74.55,75
GWD,RW,276,35,29,0,54.67,68
BHC,CB,283,54,27,0,64.06,69
HAN,LB,283,37,27,0,49.1,68
SCM,LB,245,13,30,0,55.86,72
HCE,RW,199,13,24,0,75.7,73
RNL,RB,269,41,28,3,62.31,70
THW,PV,200,39,29,9,71.43,73
ASV,LB,271,46,28,3,52.29,67
HSV,PV,203,49,28,11,70.54,73
SGF,LB,253,14,23,0,59.85,74
RNL,RB,296,32,28,2,61.29,70
BER,RB,274,58,28,2,61.48,69
FAG,CB,257,61,30,1,52.86,65
LEI,LW,199,13,29,0,70.48,71
LEI,LB,241,45,22,5,60.16,69
MTM,LB,239,26,29,0,51.03,68
SCM,PV,184,26,16,13,75.79,79
FAG,RB,248,65,30,4,56.69,66
ASV,RB,249,43,30,2,45.81,67
BER,LW,174,11,30,0,76.34,72
GUM,RB,301,46,29,6,47.33,69
HSV,LB,254,48,29,8,56.8,69
FAG,RW,189,7,23,0,64.55,70
GWD,CB,274,74,26,2,48.28,64
TBV,PV,191,23,29,15,67.31,74
MTM,CB,244,36,23,14,53.85,70
HCE,PV,188,43,30,15,72.63,73
BER,LW,175,1,29,0,69.7,72
SGF,LB,223,47,30,0,60.18,69
BER,LB,218,36,26,3,68.37,70
SGF,CB,262,52,30,4,54.55,69
HCE,LB,229,36,30,2,54.55,68
SGF,LB,218,25,29,1,58.41,70
TBV,LB,250,34,29,0,43.42,67
STU,LW,164,15,29,0,67.71,69
FAG,PV,167,57,30,6,68.42,72
THW,CB,209,20,16,0,63.73,73
SCM,LW,174,7,30,0,71.11,72
GUM,LW,160,19,28,2,70.33,69
ASV,RW,167,11,30,0,67.02,70
HAN,RB,210,41,25,1,55.86,67
STU,CB,236,37,30,1,49.19,67
LEI,LB,210,41,22,7,53.1,69
THW,CB,210,22,29,2,65.56,71
SCM,CB,188,28,28,1,58.42,69
RNL,LB,201,48,27,20,75.32,71
RNL,LB,173,26,13,5,66.67,72
WET,LW,167,17,29,1,58.16,68
HAN,LW,159,9,27,0,71.25,72
MTM,PV,135,34,29,6,77.03,73
HAN,LB,309,94,30,10,58.33,68
GUM,LW,152,8,27,0,61.54,69
MTM,RB,179,12,15,0,57.73,69
BER,RW,132,2,11,0,75.34,76
SCM,RB,219,27,31,1,43.31,68
TBV,PV,141,41,29,10,72.37,71
WET,RW,139,10,30,0,67.07,70
LEI,CB,218,67,30,24,60.67,68
WET,PV,134,46,28,19,78.26,73
HSV,LB,191,42,29,5,49.54,67
GWD,RB,231,34,28,1,40,65
MTM,RW,134,5,11,0,69.74,73
LEI,PV,135,19,25,12,75.71,75
FAG,LB,219,38,26,1,43.8,67
RNL,LW,139,8,28,0,65.43,70
MTM,LW,144,22,22,1,66.25,68
STU,RB,196,53,30,1,44.83,65
ASV,CB,178,36,16,1,55.91,68
STU,PV,132,36,30,1,68,71
STU,RB,197,36,22,0,43.86,65
GWD,RB,170,47,21,4,49.5,65
GUM,CB,194,42,30,0,50,67
HCE,RW,135,10,29,0,66.22,70
BHC,RW,124,7,28,0,69.01,69
THW,LW,134,23,24,0,64.47,69
WET,RB,161,28,12,2,52.17,67
FAG,CB,156,23,29,0,55.81,67
WET,PV,122,25,28,3,73.85,72
SGF,CB,175,30,18,0,79.66,73
RNL,LB,145,24,20,0,63.51,68
HAN,LW,139,24,30,3,60.26,68
ASV,CB,157,37,30,0,56.63,67
HAN,CB,149,27,27,2,61.84,67
SCM,PV,113,26,30,3,70.77,71
WET,LB,162,29,28,7,51.69,67
HCE,CB,154,32,30,0,52.87,67
TBV,RW,122,13,30,0,73.77,70
BHC,PV,116,40,28,20,71.43,72
HAN,PV,112,17,23,10,78.57,76
THW,RB,145,23,15,0,61.97,70
BHC,RB,164,59,29,5,44.44,63
SGF,PV,112,31,28,44,75.86,75
FAG,PV,107,46,28,29,79.63,73
GWD,RW,152,24,27,2,55.13,69
BHC,LB,179,28,29,1,45.26,67
WET,CB,151,47,29,1,50.6,65
HAN,PV,109,19,25,5,75,74
STU,PV,101,34,23,4,69.49,71
THW,PV,104,27,29,6,75.93,73
THW,PV,110,17,18,6,67.8,73
MTM,RW,108,7,28,1,70.18,70
MTM,CB,151,38,29,0,55.56,66
WET,RB,120,40,22,0,62.5,66
THW,CB,127,18,29,0,52.7,67
RNL,PV,103,16,29,2,67.24,73
ASV,LW,117,17,30,5,55.71,68
THW,LW,96,9,27,0,74.51,69
MTM,PV,93,25,15,11,76,74
SCM,RW,92,4,24,2,73.08,71
BHC,RW,91,7,29,0,71.15,69
SCM,CB,149,32,30,14,61.67,69
WET,CB,164,40,22,3,46.25,65
ASV,PV,115,47,26,10,54.41,70
SCM,LW,98,10,26,0,67.92,70
BHC,RW,94,4,30,0,69.23,71
MTM,PV,93,40,29,19,73.47,71
LEI,RW,88,3,29,0,67.31,69
HCE,RB,120,39,20,2,58.33,66
HSV,PV,84,11,21,1,74.47,73
GUM,LB,125,24,26,1,51.47,67
GWD,LW,89,5,23,0,71.43,70
STU,LB,123,26,21,4,45.33,66
THW,LB,120,12,21,1,53.13,69
FAG,LW,85,6,29,0,66,69
SGF,RB,105,14,27,2,60,68
BHC,LW,80,4,16,1,75,72
HSV,CB,123,20,15,0,63.46,69
FAG,RW,97,13,30,0,56.9,67
BER,PV,90,35,30,4,61.54,70
TBV,LB,108,25,25,18,71.11,69
GUM,PV,79,53,30,15,71.11,71
HAN,CB,114,27,12,1,54.39,68
STU,PV,83,26,30,4,75.61,72
STU,RW,86,6,30,0,62,69
ASV,RW,88,5,29,0,57.69,69
LEI,LW,78,11,30,0,68.18,69
WET,LW,78,7,28,0,65.22,68
TBV,LW,83,4,28,0,75,75
SGF,LW,72,1,30,0,72.5,71
RNL,CB,106,18,17,0,43.94,65
SGF,RB,108,15,28,1,45.9,67
GUM,RW,62,0,18,1,79.41,72
BHC,LB,90,15,21,0,48.08,67
HAN,LB,90,29,24,2,54.35,65
BER,RB,70,16,29,0,67.57,67
GWD,PV,71,13,9,6,60.98,72
HSV,RW,53,3,26,0,85.71,70
GUM,RW,108,20,26,0,51.06,68
ASV,LB,90,19,29,9,53.49,68
MTM,LB,90,20,16,3,41.82,65
GWD,PV,61,26,12,3,62.86,72
LEI,PV,53,5,12,1,64.52,72
GWD,CB,64,21,21,0,54.05,64
HSV,RB,82,31,29,1,41.3,64
MTM,RW,49,1,21,0,70.37,71
ASV,PV,42,21,19,2,70.83,71
SCM,CB,78,24,29,2,70.83,68
GWD,PV,42,26,12,2,73.91,69
RNL,PV,48,24,29,10,69.57,72
GWD,LB,56,10,15,4,61.54,68
HAN,LB,59,14,9,0,48.48,65
GWD,PV,43,25,11,5,69.57,70
TBV,RB,74,19,23,3,38.46,65
HCE,LB,54,13,16,0,45.16,66
FAG,LB,72,22,25,9,53.85,67
GUM,PV,33,4,25,0,73.68,73
WET,CB,49,12,19,3,63.64,67
BHC,RB,49,11,13,0,54.17,67
HCE,LW,34,3,30,0,61.9,68
MTM,LW,36,3,27,2,61.9,68
STU,PV,40,22,30,25,70.59,72
GWD,CB,59,22,26,6,42.31,66
BER,RB,54,27,30,17,42.31,66
LEI,LB,47,22,12,7,50,66
TBV,LW,26,5,7,0,52.94,65
GWD,PV,24,11,15,2,57.14,71
GWD,LB,20,1,4,0,66.67,74
GWD,CB,23,9,7,0,72.73,65
STU,LB,21,3,4,1,70,69
LEI,CB,27,4,6,0,43.75,67
HCE,PV,15,3,18,1,87.5,72
GUM,LB,34,25,30,7,70,66
THW,RW,20,0,4,0,58.33,69
LEI,PV,18,4,28,2,70,72
STU,LB,33,7,15,0,30.43,65
HCE,LB,27,21,29,10,60,67
HSV,LW,19,19,27,4,66.67,67
SGF,PV,20,12,22,7,75,72
GWD,LB,29,4,4,0,33.33,65
LEI,RB,14,1,5,0,85.71,72
RNL,RW,17,0,24,0,66.67,69
BHC,LW,15,2,14,0,66.67,68
RNL,LW,12,0,5,0,100,70
BHC,PV,16,3,15,0,62.5,71
FAG,LB,12,2,8,0,71.43,67
TBV,CB,20,9,30,0,55.56,66
GUM,CB,13,0,6,0,62.5,71
BER,RW,15,0,11,0,36.36,65
MTM,CB,18,4,9,0,40,65
WET,PV,8,0,10,0,100,77
STU,PV,11,2,8,0,66.67,71
RNL,LB,14,9,20,2,50,66
RNL,RW,16,2,2,0,36.36,66
ASV,GK,16,1,30,0,100,66
SCM,GK,17,5,30,0,50,66
BER,RB,9,2,3,0,75,74
MTM,LW,13,2,17,1,33.33,67
HSV,PV,6,1,17,0,100,74
LEI,CB,11,1,14,0,50,68
HSV,GK,5,0,10,0,100,70
THW,GK,6,0,29,0,66.67,66
BHC,GK,15,4,29,0,40,69
FAG,GK,7,1,30,0,100,65
HSV,LB,5,1,12,0,66.67,66
HAN,GK,10,3,30,0,50,69
SGF,GK,12,5,30,0,50,71
HCE,GK,10,3,30,0,100,67
STU,GK,14,0,29,0,40,69
GUM,GK,9,3,30,0,50,68
FAG,PV,5,1,6,0,66.67,72
SCM,GK,8,2,28,0,66.67,66
BER,LB,12,1,17,0,28.57,66
HCE,RB,8,4,11,0,40,64
RNL,GK,4,2,20,0,100,68
WET,CB,7,0,5,1,50,68
ASV,CB,5,1,6,0,66.67,67
GWD,CB,7,0,11,0,50,67
THW,LB,4,0,5,0,100,69
THW,LB,5,0,13,0,100,68
BER,LW,4,0,1,0,100,70
STU,GK,13,8,29,0,50,69
HSV,GK,8,4,26,0,100,67
THW,LW,5,0,3,0,25,65
RNL,GK,13,7,24,0,100,70
THW,GK,10,2,29,0,50,74
SGF,GK,10,0,27,0,50,71
FAG,LB,6,0,7,2,33.33,67
MTM,GK,8,3,29,0,33.33,73
BHC,GK,7,0,30,0,33.33,66
GUM,RB,9,2,4,1,14.29,65
WET,RW,2,1,3,0,100,67
BER,GK,12,6,25,0,20,68
LEI,LB,8,1,7,0,16.67,65
WET,GK,3,0,30,0,100,65
HSV,GK,3,0,18,0,100,64
SGF,RW,3,0,15,0,50,67
STU,PV,4,6,11,0,50,70
HAN,PV,2,0,16,0,100,73
RNL,LW,8,0,8,0,14.29,63
LEI,PV,2,0,2,0,100,73
RNL,RW,5,0,3,0,50,72
GWD,CB,3,1,2,0,50,64
HAN,RW,3,0,3,0,50,68
RNL,CB,4,1,3,0,33.33,65
BER,PV,2,0,1,0,100,73
THW,RB,9,0,12,0,20,66
GWD,RW,6,1,1,0,25,63
GWD,RB,2,0,2,0,100,67
MTM,PV,3,0,7,0,50,72
BHC,LB,2,0,1,0,100,68
HAN,GK,5,1,28,0,0,65
GWD,GK,15,8,30,0,0,67
BHC,CB,4,2,13,0,0,67
TBV,GK,0,1,9,0,0,61
FAG,GK,5,2,30,0,0,67
ASV,LB,3,16,25,17,0,66
ASV,GK,3,2,29,0,0,64
HAN,PV,2,3,8,1,0,70
RNL,GK,6,1,27,0,0,68
WET,GK,2,2,29,0,0,68
HCE,GK,0,0,1,0,0,65
TBV,GK,1,0,30,0,0,65
SCM,LB,9,12,30,12,0,68
TBV,GK,2,2,19,0,0,66
BER,GK,1,1,27,0,0,67
MTM,GK,1,0,29,0,0,68
LEI,GK,13,4,30,0,0,68
GWD,GK,3,0,29,0,0,64
GUM,GK,1,2,30,0,0,64
HAN,PV,2,0,7,0,0,72
STU,LW,0,0,2,0,0,65
BER,GK,0,0,2,0,0,69
HCE,GK,4,2,29,0,0,66
BER,GK,1,0,7,0,0,66
WET,GK,0,0,1,0,0,67
LEI,GK,0,0,3,0,0,68
TBV,GK,0,0,1,0,0,64
BHC,GK,0,0,1,0,0,71
SCM,GK,0,0,2,0,0,63
TBV,CB,0,1,11,0,0,64
GWD,LW,0,0,5,0,0,65
GWD,GK,0,0,7,0,0,63
ASV,LB,0,0,2,0,0,65
TBV,GK,0,0,1,0,0,63
GWD,PV,0,1,2,0,0,69
HAN,RW,1,0,3,0,0,69
LEI,CB,0,1,4,0,0,63
LEI,GK,2,2,27,0,0,65
HSV,GK,0,0,5,0,0,64
HSV,CB,0,1,5,0,0,64
GWD,RW,0,0,4,0,0,66
BER,LB,1,0,5,0,0,68
HSV,RW,0,0,4,0,0,69
FAG,LW,0,0,2,0,0,63
