Team,At_Bats,Hits,Walks,Hit_By_Pitch,Sac_Fly,Sac_Hit,On_Base_Percent
Oklahoma (Big 12),"1,710",619,337,28,26,10,0.468
Texas (Big 12),"1,720",637,247,32,31,28,0.451
Miami (OH) (MAC),"1,543",537,276,23,15,2,0.45
Florida (SEC),"1,763",581,302,68,31,19,0.439
Virginia Tech (ACC),"1,515",518,211,17,15,6,0.424
North Carolina (ACC),"1,335",463,164,17,14,15,0.421
Florida St. (ACC),"1,654",550,237,29,27,13,0.419
Grand Canyon (WAC),"1,640",547,202,41,32,27,0.413
Georgia Tech (ACC),"1,442",446,212,42,15,15,0.409
BYU (Big 12),"1,441",460,181,50,18,47,0.409
Howard (MEAC),"1,227",409,137,26,16,32,0.407
UNLV (Mountain West),"1,312",415,182,29,20,42,0.406
Texas A&M (SEC),"1,502",460,226,34,16,20,0.405
Fla. Atlantic (AAC),"1,491",444,225,55,17,20,0.405
Arizona (Pac-12),"1,506",496,178,25,20,29,0.404
Southeastern La. (Southland),"1,582",537,161,23,20,66,0.404
Colorado St. (Mountain West),"1,252",404,139,41,15,8,0.404
Nevada (Mountain West),"1,573",527,151,37,17,17,0.402
Washington (Pac-12),"1,269",403,173,11,8,22,0.402
Mississippi St. (SEC),"1,343",400,215,30,21,18,0.401
UCLA (Pac-12),"1,399",440,178,37,21,21,0.401
Duke (ACC),"1,632",525,181,53,29,34,0.401
Prairie View (SWAC),"1,161",349,181,23,21,25,0.399
Indiana (Big Ten),"1,592",495,205,39,19,23,0.398
Houston (Big 12),"1,393",411,201,44,25,18,0.394
Minnesota (Big Ten),"1,460",435,212,30,17,28,0.394
James Madison (Sun Belt),"1,421",441,176,26,15,26,0.393
Louisiana (Sun Belt),"1,692",537,165,51,15,15,0.392
George Washington (Atlantic 10),"1,404",419,185,33,10,42,0.39
Boise St. (Mountain West),"1,612",487,203,33,9,28,0.389
Northwestern (Big Ten),"1,217",332,186,54,13,18,0.389
Rutgers (Big Ten),"1,514",453,190,48,25,26,0.389
Eastern Ky. (ASUN),"1,360",405,178,35,19,21,0.388
Ohio St. (Big Ten),"1,370",408,173,34,8,22,0.388
Oklahoma St. (Big 12),"1,548",475,184,32,18,34,0.388
Clemson (ACC),"1,492",443,192,45,25,18,0.388
Texas Tech (Big 12),"1,309",407,142,30,13,8,0.388
Western Ky. (CUSA),"1,357",403,182,28,15,37,0.387
LSU (SEC),"1,601",464,234,34,23,28,0.387
Harvard (Ivy League),"1,204",376,134,25,20,20,0.387
Tennessee (SEC),"1,480",428,195,47,10,10,0.387
Troy (Sun Belt),"1,475",443,200,20,20,28,0.387
Boston U. (Patriot),"1,652",531,157,31,24,41,0.386
Georgia (SEC),"1,633",481,210,38,13,27,0.385
East Carolina (AAC),"1,510",457,185,30,22,23,0.385
Chattanooga (SoCon),"1,506",451,160,59,17,69,0.385
Wichita St. (AAC),"1,293",367,186,31,11,17,0.384
Villanova (Big East),"1,490",396,253,38,10,6,0.384
Coastal Carolina (Sun Belt),"1,366",386,190,40,10,28,0.384
Louisville (ACC),"1,376",379,192,53,7,36,0.383
Bryant (America East),"1,356",405,159,37,16,25,0.383
Saint Francis (PA) (NEC),"1,451",439,155,42,16,11,0.382
California (Pac-12),"1,496",460,164,27,17,32,0.382
Marshall (Sun Belt),"1,445",454,151,19,19,14,0.382
Marist (MAAC),"1,553",483,163,22,14,23,0.381
Fresno St. (Mountain West),"1,427",447,117,45,10,42,0.381
NC State (ACC),"1,248",339,191,36,14,11,0.38
Eastern Ill. (OVC),"1,477",437,178,34,24,39,0.379
Oregon (Pac-12),"1,381",425,136,32,17,19,0.379
Nebraska (Big Ten),"1,488",441,161,44,13,20,0.379
UIW (Southland),"1,434",448,127,29,11,38,0.377
UNC Greensboro (SoCon),"1,564",417,240,41,13,36,0.376
UNI (MVC),"1,267",331,217,25,17,8,0.375
Delaware (CAA),"1,395",410,162,26,17,16,0.374
Ball St. (MAC),"1,528",416,208,52,23,25,0.373
Seton Hall (Big East),"1,346",373,183,30,11,11,0.373
Cal St. Fullerton (Big West),"1,541",483,128,29,17,51,0.373
Tulsa (AAC),"1,393",417,139,31,10,24,0.373
Charlotte (AAC),"1,477",394,215,44,17,11,0.373
Southern Ill. (MVC),"1,385",374,200,38,22,17,0.372
Lehigh (Patriot),"1,421",426,142,25,10,33,0.371
Illinois (Big Ten),"1,403",415,138,37,13,37,0.371
Texas St. (Sun Belt),"1,647",484,192,15,15,30,0.37
Florida A&M (SWAC),"1,167",362,100,17,12,29,0.37
UTEP (CUSA),"1,230",348,144,31,14,37,0.369
UC Santa Barbara (Big West),"1,314",382,138,27,7,20,0.368
Butler (Big East),"1,397",383,180,33,11,50,0.368
Kentucky (SEC),"1,458",405,169,42,9,24,0.367
Notre Dame (ACC),"1,342",389,143,27,15,31,0.366
UAlbany (America East),"1,209",344,129,34,13,16,0.366
Princeton (Ivy League),"1,199",335,142,28,12,38,0.366
Utah (Pac-12),"1,517",459,143,15,13,32,0.366
Niagara (MAAC),"1,317",391,116,33,12,23,0.365
Auburn (SEC),"1,287",325,198,39,16,38,0.365
Kent St. (MAC),"1,334",403,112,28,14,32,0.365
Iowa St. (Big 12),"1,333",363,172,30,14,9,0.365
App State (Sun Belt),"1,349",398,147,9,14,33,0.365
Saint Mary's (CA) (WCC),"1,405",406,122,54,15,32,0.365
Stanford (Pac-12),"1,736",474,210,45,9,24,0.365
Stony Brook (CAA),"1,343",383,141,32,10,44,0.364
Dayton (Atlantic 10),"1,468",410,186,21,19,34,0.364
Cal Poly (Big West),"1,240",358,135,22,17,53,0.364
UCF (Big 12),"1,505",452,136,18,6,23,0.364
Cornell (Ivy League),963,263,129,17,15,18,0.364
Arkansas (SEC),"1,408",391,154,47,19,11,0.364
McNeese (Southland),"1,507",410,190,36,19,29,0.363
Gardner-Webb (Big South),"1,389",383,169,28,12,19,0.363
Mercer (SoCon),"1,420",384,175,36,9,44,0.363
Saint Louis (Atlantic 10),"1,396",384,172,25,9,28,0.363
Michigan (Big Ten),"1,524",416,193,30,15,41,0.363
California Baptist (WAC),"1,578",496,93,35,15,45,0.363
Ole Miss (SEC),"1,525",408,185,50,14,37,0.362
LMU (CA) (WCC),"1,328",376,122,50,13,38,0.362
Baylor (Big 12),"1,504",428,156,32,11,32,0.362
Omaha (Summit League),"1,554",424,179,48,22,15,0.361
Youngstown St. (Horizon),"1,386",393,147,28,14,40,0.361
Syracuse (ACC),"1,332",375,140,35,19,15,0.36
San Diego St. (Mountain West),"1,333",380,144,22,16,27,0.36
UMBC (America East),"1,192",326,140,24,5,10,0.36
Northern Ky. (Horizon),"1,129",317,119,25,8,46,0.36
Elon (CAA),"1,354",364,163,36,13,15,0.36
Seattle U (WAC),"1,508",454,122,25,17,20,0.359
Utah St. (Mountain West),"1,292",380,109,30,13,42,0.359
Kansas (Big 12),"1,408",388,159,28,5,31,0.359
ULM (Sun Belt),"1,413",398,162,22,24,42,0.359
Binghamton (America East),"1,294",356,132,43,11,20,0.359
New Mexico St. (CUSA),"1,403",417,122,23,19,26,0.359
Toledo (MAC),"1,299",395,82,37,16,41,0.358
Maryland (Big Ten),"1,445",400,149,42,14,13,0.358
Ga. Southern (Sun Belt),"1,301",335,153,55,8,47,0.358
Missouri (SEC),"1,702",442,186,86,22,31,0.358
Abilene Christian (WAC),"1,236",346,109,46,12,21,0.357
Yale (Ivy League),"1,217",328,142,28,8,16,0.357
Utah Valley (WAC),"1,445",414,131,32,10,32,0.357
Idaho St. (Big Sky),"1,452",425,131,23,18,25,0.357
Drake (MVC),"1,324",369,151,11,5,21,0.356
Samford (SoCon),"1,495",421,154,31,23,44,0.356
Tennessee Tech (OVC),"1,311",374,135,17,16,31,0.356
USC Upstate (Big South),"1,335",352,138,59,12,28,0.356
Fordham (Atlantic 10),"1,458",408,159,23,21,28,0.355
Jacksonville St. (CUSA),"1,405",366,176,36,15,27,0.354
Louisiana Tech (CUSA),"1,429",378,185,23,19,29,0.354
South Dakota St. (Summit League),"1,391",384,162,14,17,32,0.354
Sacramento St. (Big Sky),"1,267",367,110,20,9,46,0.353
Penn St. (Big Ten),"1,446",404,143,29,13,37,0.353
Providence (Big East),"1,185",328,114,30,8,32,0.353
Northern Colo. (Big Sky),"1,385",360,165,39,9,8,0.353
UConn (Big East),"1,404",371,162,38,14,36,0.353
Arizona St. (Pac-12),"1,323",369,119,41,16,15,0.353
Campbell (CAA),"1,502",437,133,26,28,45,0.353
Belmont (MVC),"1,315",344,172,23,18,9,0.353
Penn (Ivy League),"1,068",281,129,24,11,19,0.352
Portland St. (Big Sky),"1,279",352,117,39,8,34,0.352
Texas Southern (SWAC),"1,003",276,118,8,13,31,0.352
Creighton (Big East),"1,490",416,145,33,20,30,0.352
North Texas (AAC),"1,400",365,174,29,12,21,0.352
South Fla. (AAC),"1,462",369,180,48,15,41,0.35
Siena (MAAC),"1,423",375,147,47,12,39,0.349
Jackson St. (SWAC),"1,373",372,157,17,17,31,0.349
Morgan St. (MEAC),"1,332",355,150,25,12,22,0.349
Canisius (MAAC),"1,167",303,137,27,9,27,0.349
Montana (Big Sky),"1,242",326,131,36,6,27,0.348
Central Mich. (MAC),"1,268",309,183,28,15,40,0.348
Purdue (Big Ten),"1,356",344,160,45,17,32,0.348
Long Beach St. (Big West),"1,398",348,179,38,13,19,0.347
LIU (NEC),"1,380",367,159,23,22,42,0.347
Alabama (SEC),"1,512",379,168,59,10,30,0.346
Central Ark. (ASUN),"1,350",347,166,24,11,22,0.346
FIU (CUSA),"1,313",374,113,18,16,29,0.346
Colgate (Patriot),"1,295",340,130,38,9,15,0.345
North Florida (ASUN),"1,396",371,163,14,15,29,0.345
Loyola Chicago (Atlantic 10),"1,394",358,177,16,11,40,0.345
Santa Clara (WCC),"1,423",390,139,24,18,29,0.345
Southern Miss. (Sun Belt),"1,336",344,162,21,10,32,0.345
Southeast Mo. St. (OVC),"1,426",402,129,17,18,19,0.345
Saint Joseph's (Atlantic 10),"1,307",352,144,16,19,21,0.345
Rider (MAAC),"1,326",360,125,26,7,33,0.344
Ohio (MAC),"1,466",405,137,21,12,35,0.344
Weber St. (Big Sky),"1,305",357,115,28,5,43,0.344
Wisconsin (Big Ten),"1,312",346,135,34,16,42,0.344
Oakland (Horizon),"1,174",314,107,33,10,27,0.343
Akron (MAC),"1,427",390,136,22,14,23,0.343
Brown (Ivy League),"1,053",279,112,17,10,33,0.342
Coppin St. (MEAC),"1,229",329,129,20,20,24,0.342
Dartmouth (Ivy League),913,253,77,18,10,14,0.342
Tennessee St. (OVC),"1,358",371,130,20,19,26,0.341
South Carolina (SEC),"1,554",376,195,48,19,26,0.341
St. John's (NY) (Big East),"1,516",385,157,48,11,13,0.341
Liberty (CUSA),"1,603",417,170,33,17,17,0.34
UC Riverside (Big West),"1,246",336,122,17,13,27,0.34
NIU (MAC),"1,390",383,116,26,15,21,0.339
Western Mich. (MAC),"1,235",345,111,15,27,37,0.339
Southern Utah (WAC),"1,320",363,106,27,9,17,0.339
Furman (SoCon),"1,432",372,153,25,12,35,0.339
Robert Morris (Horizon),"1,113",294,108,21,6,31,0.339
Illinois St. (MVC),"1,393",369,143,19,12,39,0.339
UT Martin (OVC),"1,407",394,121,14,20,21,0.339
Bethune-Cookman (SWAC),"1,300",359,113,20,21,59,0.338
Western Caro. (SoCon),"1,422",396,119,17,17,28,0.338
Alabama St. (SWAC),"1,481",427,105,14,18,33,0.337
Hawaii (Big West),"1,167",305,111,26,8,34,0.337
UT Arlington (WAC),"1,478",402,132,18,11,16,0.337
Jacksonville (ASUN),"1,275",310,164,25,20,27,0.336
Saint Peter's (MAAC),"1,353",375,101,24,10,30,0.336
Michigan St. (Big Ten),"1,265",313,138,36,11,24,0.336
Columbia (Ivy League),987,262,87,21,7,25,0.336
Missouri St. (MVC),"1,281",326,139,25,15,43,0.336
Sam Houston (CUSA),"1,305",338,124,29,9,31,0.335
Hampton (CAA),"1,298",322,153,22,12,33,0.335
Radford (Big South),"1,165",300,127,17,18,30,0.335
SIUE (OVC),"1,474",412,117,14,18,38,0.335
UMES (MEAC),"1,148",318,101,5,17,17,0.334
Middle Tenn. (CUSA),"1,402",366,132,23,5,32,0.334
Massachusetts (Atlantic 10),"1,437",334,158,64,8,20,0.334
IU Indy (Horizon),"1,308",357,107,17,11,30,0.333
Iowa (Big Ten),"1,251",324,120,26,13,27,0.333
Col. of Charleston (CAA),"1,270",320,129,29,9,19,0.333
Bradley (MVC),"1,522",385,144,40,11,32,0.331
Southern U. (SWAC),"1,052",272,89,30,9,16,0.331
Central Conn. St. (NEC),"1,231",320,115,20,9,14,0.331
Iona (MAAC),"1,245",310,137,20,10,13,0.331
Lamar University (Southland),"1,319",334,146,13,16,23,0.33
Austin Peay (ASUN),"1,345",359,106,27,13,23,0.33
CSUN (Big West),"1,349",362,80,50,12,40,0.33
N.C. Central (MEAC),"1,416",358,137,31,13,37,0.329
San Jose St. (Mountain West),"1,116",300,96,9,11,33,0.329
Nicholls (Southland),"1,454",389,112,28,16,39,0.329
Buffalo (MAC),"1,265",316,143,12,14,2,0.328
UMass Lowell (America East),"1,235",307,131,19,7,17,0.328
UAB (AAC),"1,244",304,140,20,10,41,0.328
Indiana St. (MVC),"1,299",338,117,19,10,8,0.328
Lipscomb (ASUN),"1,309",315,158,19,15,24,0.328
Monmouth (CAA),"1,325",322,133,38,9,18,0.328
UNCW (CAA),"1,440",360,131,37,9,28,0.327
Alabama A&M (SWAC),890,228,76,18,3,38,0.326
Houston Christian (Southland),"1,315",340,115,21,9,20,0.326
Cleveland St. (Horizon),"1,243",339,78,23,6,44,0.326
Virginia (ACC),"1,398",344,142,32,19,13,0.326
San Diego (WCC),"1,463",391,100,29,7,35,0.325
Longwood (Big South),"1,355",355,102,27,6,15,0.325
Grambling (SWAC),"1,052",249,120,22,10,22,0.325
New Mexico (Mountain West),"1,355",350,106,34,14,44,0.325
South Alabama (Sun Belt),"1,448",360,149,21,17,37,0.324
North Ala. (ASUN),"1,409",367,104,34,14,37,0.324
Boston College (ACC),"1,370",336,135,28,12,26,0.323
Pittsburgh (ACC),"1,191",291,118,22,4,33,0.323
Quinnipiac (MAAC),"1,177",304,91,26,11,26,0.323
FGCU (ASUN),"1,540",400,122,26,11,22,0.323
Winthrop (Big South),"1,449",364,131,27,12,31,0.322
Stetson (ASUN),"1,278",313,120,30,11,34,0.322
Georgetown (Big East),"1,200",277,145,21,11,33,0.322
George Mason (Atlantic 10),"1,332",331,127,20,9,26,0.321
Evansville (MVC),"1,314",328,126,20,16,12,0.321
A&M-Corpus Christi (Southland),"1,103",279,103,10,6,26,0.321
Wofford (SoCon),"1,245",283,151,22,6,47,0.32
Delaware St. (MEAC),"1,032",275,78,5,5,29,0.32
Georgia St. (Sun Belt),"1,334",325,104,49,9,27,0.32
Northwestern St. (Southland),"1,241",302,119,27,16,37,0.319
Purdue Fort Wayne (Horizon),"1,214",323,88,12,11,15,0.319
Kansas City (Summit League),"1,459",359,142,18,9,22,0.319
Fairfield (MAAC),"1,184",296,95,29,10,45,0.319
Hofstra (CAA),"1,266",305,135,13,8,26,0.319
Sacred Heart (NEC),"1,437",359,124,21,10,28,0.317
Bowling Green (MAC),"1,050",232,134,14,5,23,0.316
UC Davis (Big West),"1,268",307,123,17,10,26,0.315
Presbyterian (Big South),"1,292",305,137,16,9,42,0.315
Rhode Island (Atlantic 10),"1,303",318,111,29,11,21,0.315
Drexel (CAA),"1,172",284,105,22,7,6,0.315
Bucknell (Patriot),"1,207",288,130,7,11,28,0.314
N.C. A&T (CAA),"1,149",254,124,35,9,23,0.314
Towson (CAA),"1,391",340,124,20,9,16,0.313
Mount St. Mary's (MAAC),"1,133",248,113,46,9,22,0.313
North Dakota St. (Summit League),"1,389",324,143,18,10,24,0.311
UTSA (AAC),"1,358",283,183,24,14,11,0.31
Manhattan (MAAC),"1,205",279,117,24,9,28,0.31
Holy Cross (Patriot),"1,267",319,90,17,6,24,0.309
SFA (WAC),"1,404",324,132,24,8,23,0.306
Pacific (WCC),"1,303",320,94,23,14,38,0.305
Murray St. (MVC),"1,351",310,123,27,11,46,0.304
Wagner (NEC),981,217,102,16,5,11,0.303
DePaul (Big East),"1,155",263,114,12,7,27,0.302
CSU Bakersfield (Big West),"1,196",284,81,29,10,31,0.299
Alcorn (SWAC),960,216,93,13,10,10,0.299
Oregon St. (Pac-12),"1,279",292,114,19,10,18,0.299
Valparaiso (MVC),"1,224",274,113,18,1,26,0.299
South Dakota (Summit League),"1,408",338,102,18,8,22,0.298
Norfolk St. (MEAC),"1,116",238,114,23,5,27,0.298
Charleston So. (Big South),"1,256",296,110,8,15,32,0.298
Army West Point (Patriot),"1,378",336,96,13,7,35,0.298
Ark.-Pine Bluff (SWAC),"1,169",265,101,18,5,25,0.297
ETSU (SoCon),"1,304",311,104,8,9,11,0.297
FDU (NEC),"1,172",259,110,18,4,22,0.297
UIC (MVC),"1,413",342,103,9,10,48,0.296
Green Bay (Horizon),"1,177",265,89,34,13,36,0.296
Mississippi Val. (SWAC),860,178,100,10,5,8,0.295
Kennesaw St. (ASUN),"1,389",314,121,19,10,28,0.295
Merrimack (NEC),"1,375",300,117,33,7,17,0.294
North Dakota (Summit League),"1,388",291,136,29,11,13,0.292
Memphis (AAC),"1,189",246,127,17,5,25,0.291
St. Bonaventure (Atlantic 10),977,187,124,16,6,13,0.291
Western Ill. (OVC),"1,305",316,74,18,9,14,0.29
Detroit Mercy (Horizon),980,200,103,14,5,11,0.288
Morehead St. (OVC),999,222,82,9,7,22,0.285
South Carolina St. (MEAC),"1,034",231,68,16,5,10,0.28
Maine (America East),"1,102",224,87,18,5,22,0.271
Lafayette (Patriot),"1,013",199,75,20,7,14,0.264